#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         575    -5.30922    -5.43567  0.00370768
         576    -5.46438    -5.43572  0.00370158
         577    -5.46305    -5.43577  0.00369547
         578    -5.51931    -5.43592   0.0036919
         579    -5.48681      -5.436  0.00368657
         580    -5.43075      -5.436  0.00368022
         581    -5.40319    -5.43594  0.00367432
         582    -5.51163    -5.43607  0.00367031
         583    -5.50392    -5.43619  0.00366586
         584    -5.58355    -5.43644  0.00366826
         585    -5.56208    -5.43665  0.00366827
         586    -5.45962    -5.43669  0.00366222
         587    -5.47652    -5.43676  0.00365661
         588    -5.54506    -5.43694  0.00365503
         589    -5.56387    -5.43716  0.00365517
         590    -5.61474    -5.43746  0.00366134
         591    -5.67724    -5.43787  0.00367756
         592    -5.54492    -5.43805  0.00367579
         593    -5.49758    -5.43815  0.00367096
         594    -5.45905    -5.43818  0.00366495
         595    -5.46851    -5.43823  0.00365915
         596    -5.43421    -5.43823  0.00365301
         597     -5.5585    -5.43843  0.00365244
         598    -5.50211    -5.43853  0.00364789
         599    -5.48286    -5.43861  0.00364255
         600    -5.48031    -5.43868  0.00363714
         601    -5.55765    -5.43888  0.00363647
         602     -5.5353    -5.43904  0.00363396
         603    -5.57879    -5.43927  0.00363531
         604    -5.55288    -5.43946  0.00363416
         605    -5.46001    -5.43949  0.00362831
         606    -5.47815    -5.43955  0.00362288
         607    -5.42841    -5.43954  0.00361696
         608    -5.40592    -5.43948  0.00361144
         609     -5.4269    -5.43946  0.00360556
         610    -5.35747    -5.43933  0.00360216
         611    -5.47227    -5.43938  0.00359667
         612    -5.57909    -5.43961  0.00359803
         613    -5.56588    -5.43981  0.00359805
         614    -5.47124    -5.43986  0.00359255
         615    -5.40899    -5.43981  0.00358706
         616    -5.50677    -5.43992  0.00358289
         617    -5.51293    -5.44004  0.00357903
         618    -5.60702    -5.44031  0.00358343
         619    -5.65918    -5.44067  0.00359504
         620    -5.55937    -5.44086  0.00359433
         621    -5.47285    -5.44091  0.00358892
         622    -5.53535    -5.44106  0.00358636
         623    -5.52645     -5.4412  0.00358322
         624    -5.53698    -5.44135  0.00358076
         625    -5.55071    -5.44153   0.0035793
         626    -5.54946     -5.4417  0.00357774
         627    -5.45642    -5.44172  0.00357211
         628    -5.51169    -5.44183  0.00356816
         629    -5.55004      -5.442  0.00356663
         630    -5.57587    -5.44222  0.00356729
         631     -5.5253    -5.44235  0.00356407
         632    -5.42859    -5.44233   0.0035585
         633    -5.40415    -5.44227  0.00355338
         634    -5.48132    -5.44233  0.00354831
         635    -5.35827     -5.4422  0.00354519
         636    -5.45211    -5.44221  0.00353965
         637    -5.39226    -5.44213  0.00353497
         638    -5.25381    -5.44184  0.00354173
         639    -5.30393    -5.44162  0.00354276
         640    -5.34117    -5.44147   0.0035407
         641    -5.36558    -5.44135  0.00353715
         642     -5.3888    -5.44127  0.00353259
         643    -5.44496    -5.44127   0.0035271
         644    -5.45261    -5.44129  0.00352167
         645    -5.47871    -5.44135  0.00351668
         646    -5.57784    -5.44156  0.00351758
         647    -5.52208    -5.44168  0.00351434
         648    -5.50646    -5.44178  0.00351034
         649    -5.52852    -5.44192  0.00350748
         650    -5.49634      -5.442  0.00350308
         651    -5.39543    -5.44193  0.00349843
         652    -5.41453    -5.44189  0.00349332
         653    -5.38721     -5.4418  0.00348897
         654    -5.47071    -5.44185  0.00348392
         655    -5.51688    -5.44196  0.00348048
         656    -5.46138    -5.44199   0.0034753
         657    -5.40647    -5.44194  0.00347043
         658    -5.36725    -5.44182  0.00346701
         659     -5.3829    -5.44173   0.0034629
         660    -5.36334    -5.44161  0.00345969
