#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         707     2.25625     2.31791   0.0162688
         708     2.02502      2.3175   0.0162511
         709     1.92162     2.31694   0.0162377
         710     2.31967     2.31694   0.0162149
         711     2.34816     2.31699   0.0161921
         712     2.52437     2.31728    0.016172
         713     2.39654     2.31739   0.0161497
         714     2.33389     2.31741   0.0161271
         715     2.81763     2.31811   0.0161197
         716     2.57053     2.31847    0.016101
         717     2.46095     2.31866   0.0160798
         718     2.60281     2.31906   0.0160623
         719     2.50104     2.31931   0.0160419
         720     2.37233     2.31939   0.0160198
         721     2.61617      2.3198   0.0160029
         722     2.73471     2.32037    0.015991
         723     2.66771     2.32085   0.0159761
         724      2.3373     2.32088   0.0159541
         725     2.10174     2.32057   0.0159349
         726     1.95347     2.32007    0.015921
         727     1.92091     2.31952   0.0159086
         728     1.97101     2.31904   0.0158939
         729     1.74206     2.31825   0.0158918
         730     1.67639     2.31737   0.0158944
         731     1.77574     2.31663   0.0158899
         732     2.24224     2.31653   0.0158685
         733     2.25401     2.31644   0.0158471
