#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         532    0.678866     1.46261   0.0161884
         533    0.673408     1.46113   0.0162256
         534    0.667501     1.45964   0.0162631
         535    0.661964     1.45815   0.0163009
         536    0.657378     1.45665   0.0163388
         537    0.653358     1.45516   0.0163767
         538    0.649766     1.45366   0.0164146
         539    0.647424     1.45217   0.0164521
         540    0.647388     1.45068    0.016489
         541    0.648546     1.44919   0.0165251
         542    0.650262     1.44772   0.0165602
         543    0.653826     1.44626   0.0165941
         544    0.659071     1.44481   0.0166266
         545    0.665823     1.44338   0.0166574
         546     0.67414     1.44197   0.0166864
         547    0.683835     1.44059   0.0167133
         548    0.694229     1.43922   0.0167382
         549    0.706558     1.43789   0.0167608
         550     0.72012     1.43658   0.0167811
         551     0.73637     1.43531   0.0167987
         552    0.753618     1.43408   0.0168136
         553    0.772815     1.43288   0.0168257
         554    0.793454     1.43173   0.0168348
         555    0.816212     1.43062    0.016841
         556     0.84056     1.42956   0.0168441
         557    0.866187     1.42855   0.0168442
         558    0.893735     1.42759   0.0168413
         559    0.923113     1.42669   0.0168353
         560    0.953009     1.42584   0.0168265
         561    0.983306     1.42505    0.016815
         562     1.01507     1.42432   0.0168008
         563     1.04768     1.42365   0.0167843
         564     1.08097     1.42304   0.0167656
         565     1.11476      1.4225   0.0167448
         566     1.14985     1.42202   0.0167221
         567      1.1846      1.4216   0.0166979
         568     1.21928     1.42124   0.0166723
         569     1.25395     1.42095   0.0166455
         570      1.2879     1.42072    0.016618
         571     1.32068     1.42054   0.0165898
         572     1.35304     1.42042   0.0165612
         573     1.38404     1.42036   0.0165324
         574     1.41371     1.42035   0.0165036
         575     1.44114     1.42038    0.016475
         576     1.46756     1.42046   0.0164466
         577     1.49207     1.42059   0.0164185
         578     1.51474     1.42075   0.0163909
         579     1.53471     1.42095   0.0163638
         580     1.55111     1.42117   0.0163371
         581     1.56697     1.42142   0.0163109
         582     1.57956      1.4217   0.0162852
         583     1.58977     1.42198   0.0162598
         584     1.59711     1.42228   0.0162347
         585     1.60156     1.42259   0.0162099
         586     1.60364      1.4229   0.0161851
         587     1.60314     1.42321   0.0161605
         588      1.6004     1.42351   0.0161358
         589     1.59526      1.4238   0.0161111
         590     1.58714     1.42408   0.0160861
         591     1.57738     1.42434    0.016061
         592      1.5659     1.42457   0.0160356
         593     1.55216     1.42479     0.01601
         594     1.53682     1.42498   0.0159842
         595     1.52032     1.42514   0.0159581
         596     1.50286     1.42527   0.0159319
         597     1.48441     1.42537   0.0159055
         598     1.46613     1.42544   0.0158791
         599      1.4463     1.42547   0.0158526
         600     1.42558     1.42547   0.0158262
         601     1.40489     1.42544   0.0157999
         602     1.38466     1.42537   0.0157738
         603     1.36456     1.42527   0.0157479
         604     1.34378     1.42513   0.0157225
         605     1.32368     1.42497   0.0156974
         606     1.30535     1.42477   0.0156727
         607      1.2865     1.42454   0.0156485
         608     1.26916     1.42429   0.0156249
         609     1.25148       1.424   0.0156018
         610     1.23642     1.42369   0.0155793
         611     1.22092     1.42336   0.0155573
         612     1.20743     1.42301   0.0155359
         613     1.19429     1.42264    0.015515
         614     1.18273     1.42225   0.0154947
         615     1.17201     1.42184   0.0154748
         616     1.16334     1.42142   0.0154554
         617     1.15454     1.42099   0.0154364
         618     1.14676     1.42054   0.0154178
         619     1.14022     1.42009   0.0153995
         620     1.13485     1.41963   0.0153815
         621     1.13059     1.41916   0.0153638
         622     1.12762      1.4187   0.0153463
         623     1.12439     1.41822   0.0153289
         624     1.12154     1.41775   0.0153117
         625     1.11923     1.41727   0.0152947
         626     1.11807     1.41679   0.0152777
         627     1.11747     1.41631   0.0152608
         628     1.11613     1.41584    0.015244
         629      1.1149     1.41536   0.0152272
         630     1.11416     1.41488   0.0152106
         631     1.11308      1.4144    0.015194
         632      1.1123     1.41392   0.0151775
         633      1.1105     1.41344    0.015161
         634      1.1093     1.41296   0.0151447
         635     1.10695     1.41248   0.0151285
         636     1.10385       1.412   0.0151125
         637     1.10045     1.41151   0.0150967
         638     1.09622     1.41101   0.0150811
         639     1.09116     1.41051   0.0150658
         640     1.08694     1.41001   0.0150508
         641     1.08164      1.4095    0.015036
         642     1.07552     1.40898   0.0150216
         643     1.06888     1.40845   0.0150075
         644     1.06199     1.40791   0.0149939
         645     1.05419     1.40736   0.0149807
         646     1.04701      1.4068   0.0149679
         647     1.03859     1.40623   0.0149555
         648     1.03047     1.40565   0.0149437
         649     1.02177     1.40506   0.0149324
         650     1.01332     1.40446   0.0149216
         651     1.00592     1.40385   0.0149112
         652    0.997993     1.40322   0.0149013
         653    0.989879     1.40259   0.0148919
         654    0.981432     1.40195   0.0148831
         655    0.974672      1.4013   0.0148746
         656    0.968486     1.40064   0.0148666
         657    0.962961     1.39997   0.0148589
         658    0.958901      1.3993   0.0148514
         659    0.953733     1.39862   0.0148443
         660    0.950181     1.39794   0.0148373
         661     0.94783     1.39726   0.0148305
         662     0.94698     1.39658   0.0148237
         663    0.947206      1.3959   0.0148168
         664    0.949034     1.39523   0.0148098
         665     0.95106     1.39456   0.0148025
         666    0.954525      1.3939    0.014795
         667    0.959697     1.39325   0.0147872
         668    0.965152     1.39261   0.0147789
         669    0.971865     1.39198   0.0147702
         670    0.980321     1.39137   0.0147609
         671     0.98956     1.39077   0.0147511
         672    0.999809     1.39019   0.0147406
         673     1.01201     1.38963   0.0147294
         674     1.02566     1.38909   0.0147174
         675     1.04024     1.38857   0.0147047
         676     1.05569     1.38808   0.0146912
         677     1.07222     1.38761   0.0146769
         678     1.08928     1.38717   0.0146619
         679     1.10776     1.38676    0.014646
         680      1.1259     1.38637   0.0146295
         681     1.14555     1.38602   0.0146123
