#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         405    -5.38758    -5.43796  0.00385732
         406     -5.3848    -5.43783  0.00385004
         407    -5.38204    -5.43769  0.00384302
         408    -5.37885    -5.43755  0.00383631
         409    -5.37584     -5.4374  0.00382989
         410    -5.37333    -5.43724  0.00382374
         411    -5.36982    -5.43708  0.00381795
         412    -5.36669    -5.43691  0.00381251
         413    -5.36382    -5.43673  0.00380738
         414    -5.36018    -5.43655  0.00380267
         415    -5.35672    -5.43635  0.00379837
         416    -5.35315    -5.43615   0.0037945
         417    -5.35014    -5.43595    0.003791
         418    -5.34725    -5.43574  0.00378787
         419    -5.34422    -5.43552  0.00378512
         420    -5.34169    -5.43529  0.00378269
         421    -5.33892    -5.43506  0.00378063
         422     -5.3367    -5.43483  0.00377885
         423    -5.33458    -5.43459  0.00377734
         424    -5.33228    -5.43435  0.00377613
         425    -5.33101    -5.43411  0.00377507
         426    -5.32985    -5.43387  0.00377413
         427     -5.3282    -5.43362   0.0037734
         428    -5.32694    -5.43337   0.0037728
         429    -5.32623    -5.43312  0.00377227
         430    -5.32573    -5.43287  0.00377175
         431    -5.32572    -5.43262  0.00377118
         432    -5.32559    -5.43237  0.00377058
         433     -5.3253    -5.43213  0.00376998
         434    -5.32561    -5.43188  0.00376927
         435    -5.32588    -5.43164  0.00376847
         436    -5.32641     -5.4314  0.00376755
         437    -5.32718    -5.43116  0.00376647
         438    -5.32773    -5.43092  0.00376526
         439    -5.32805    -5.43069  0.00376397
         440    -5.32844    -5.43045  0.00376258
         441    -5.32981    -5.43023  0.00376097
         442    -5.33064       -5.43   0.0037592
         443    -5.33185    -5.42978  0.00375724
         444    -5.33299    -5.42956  0.00375509
         445     -5.3342    -5.42935  0.00375276
         446    -5.33535    -5.42914  0.00375026
         447     -5.3366    -5.42893  0.00374758
         448    -5.33841    -5.42873  0.00374466
         449    -5.33987    -5.42853  0.00374155
         450    -5.34221    -5.42834  0.00373815
         451    -5.34422    -5.42815  0.00373451
         452    -5.34651    -5.42797  0.00373061
         453    -5.34894     -5.4278  0.00372645
         454    -5.35152    -5.42763  0.00372203
         455    -5.35439    -5.42747  0.00371733
         456    -5.35697    -5.42731  0.00371239
         457    -5.35971    -5.42716  0.00370721
         458    -5.36307    -5.42702  0.00370176
         459    -5.36629    -5.42689  0.00369606
         460    -5.36953    -5.42677  0.00369012
         461    -5.37338    -5.42665  0.00368394
         462     -5.3768    -5.42654  0.00367754
         463    -5.38084    -5.42644  0.00367092
         464    -5.38459    -5.42635  0.00366412
         465    -5.38865    -5.42627  0.00365714
         466    -5.39241     -5.4262  0.00365001
         467    -5.39708    -5.42614  0.00364273
         468    -5.40175    -5.42609  0.00363532
         469    -5.40639    -5.42604  0.00362781
         470    -5.41116    -5.42601  0.00362023
         471    -5.41618    -5.42599   0.0036126
         472    -5.42101    -5.42598  0.00360496
         473    -5.42667    -5.42598  0.00359734
         474    -5.43165    -5.42599  0.00358977
         475    -5.43683    -5.42602  0.00358229
         476    -5.44204    -5.42605  0.00357492
         477    -5.44727     -5.4261   0.0035677
         478    -5.45249    -5.42615  0.00356067
         479    -5.45754    -5.42622  0.00355384
         480    -5.46285    -5.42629  0.00354725
         481     -5.4678    -5.42638  0.00354093
         482    -5.47266    -5.42647  0.00353488
         483    -5.47728    -5.42658  0.00352913
         484    -5.48193    -5.42669  0.00352369
         485    -5.48676    -5.42682   0.0035186
         486    -5.49084    -5.42695  0.00351382
         487    -5.49506    -5.42709  0.00350939
         488    -5.49926    -5.42724  0.00350531
         489    -5.50298    -5.42739  0.00350157
         490    -5.50681    -5.42755  0.00349817
         491     -5.5106    -5.42772  0.00349513
         492    -5.51405     -5.4279  0.00349243
         493    -5.51716    -5.42808  0.00349004
         494    -5.52022    -5.42827  0.00348795
         495    -5.52233    -5.42846  0.00348608
         496    -5.52472    -5.42865  0.00348445
         497    -5.52737    -5.42885  0.00348309
         498    -5.53001    -5.42905  0.00348202
         499    -5.53219    -5.42926  0.00348117
         500    -5.53422    -5.42947  0.00348053
         501    -5.53611    -5.42968  0.00348008
         502    -5.53835     -5.4299  0.00347988
         503    -5.53957    -5.43012  0.00347978
         504      -5.541    -5.43034  0.00347983
         505    -5.54297    -5.43056  0.00348008
         506    -5.54382    -5.43078  0.00348039
         507    -5.54539    -5.43101  0.00348086
         508    -5.54723    -5.43124  0.00348152
         509    -5.54845    -5.43147  0.00348228
         510    -5.54968     -5.4317  0.00348316
         511    -5.55076    -5.43193  0.00348413
         512    -5.55248    -5.43217  0.00348527
         513    -5.55423    -5.43241  0.00348659
         514    -5.55512    -5.43265  0.00348797
         515    -5.55683    -5.43289  0.00348952
         516    -5.55874    -5.43313  0.00349127
         517    -5.56043    -5.43338  0.00349319
         518    -5.56189    -5.43362  0.00349525
         519    -5.56342    -5.43387  0.00349745
         520    -5.56548    -5.43413  0.00349987
         521    -5.56716    -5.43438  0.00350245
         522    -5.56937    -5.43464  0.00350528
         523    -5.57135     -5.4349  0.00350831
         524     -5.5734    -5.43517  0.00351155
         525    -5.57549    -5.43543  0.00351502
         526    -5.57734     -5.4357  0.00351868
         527    -5.58027    -5.43598  0.00352268
         528    -5.58246    -5.43626  0.00352691
         529    -5.58555    -5.43654  0.00353152
         530    -5.58788    -5.43682  0.00353638
         531    -5.59047    -5.43711  0.00354154
         532    -5.59284    -5.43741  0.00354696
         533    -5.59437     -5.4377  0.00355251
         534    -5.59639      -5.438  0.00355826
         535    -5.59843     -5.4383  0.00356422
         536    -5.60014     -5.4386  0.00357034
         537    -5.60182     -5.4389  0.00357661
         538    -5.60357    -5.43921  0.00358303
         539    -5.60493    -5.43952  0.00358955
         540    -5.60526    -5.43982    0.003596
         541    -5.60529    -5.44013  0.00360234
         542    -5.60545    -5.44043  0.00360858
         543    -5.60496    -5.44074  0.00361463
         544    -5.60396    -5.44104  0.00362042
         545    -5.60257    -5.44133  0.00362589
         546    -5.60078    -5.44163  0.00363099
         547    -5.59872    -5.44191  0.00363569
         548    -5.59684     -5.4422  0.00364003
         549    -5.59436    -5.44247  0.00364394
         550    -5.59174    -5.44274   0.0036474
         551    -5.58806    -5.44301  0.00365031
         552    -5.58438    -5.44326  0.00365267
         553     -5.5801    -5.44351  0.00365443
         554    -5.57552    -5.44375   0.0036556
         555     -5.5702    -5.44398   0.0036561
         556    -5.56446    -5.44419  0.00365594
         557    -5.55846     -5.4444  0.00365513
         558    -5.55176    -5.44459  0.00365364
         559     -5.5444    -5.44477  0.00365146
         560    -5.53715    -5.44494  0.00364867
         561    -5.53004    -5.44509  0.00364532
         562    -5.52235    -5.44523  0.00364142
         563    -5.51441    -5.44535  0.00363703
         564    -5.50628    -5.44546  0.00363218
         565      -5.498    -5.44555  0.00362694
         566      -5.489    -5.44563  0.00362135
         567    -5.48025    -5.44569  0.00361548
         568    -5.47148    -5.44573   0.0036094
         569    -5.46261    -5.44576  0.00360317
         570    -5.45399    -5.44578  0.00359688
         571    -5.44583    -5.44578  0.00359058
         572    -5.43758    -5.44576  0.00358433
         573    -5.42975    -5.44573  0.00357819
         574    -5.42224    -5.44569  0.00357219
         575    -5.41556    -5.44564  0.00356636
         576    -5.40886    -5.44558  0.00356074
         577    -5.40263     -5.4455  0.00355535
         578    -5.39678    -5.44542  0.00355019
         579     -5.3918    -5.44533  0.00354527
         580    -5.38817    -5.44523  0.00354053
         581    -5.38395    -5.44512    0.003536
         582    -5.38085    -5.44501  0.00353165
         583    -5.37825     -5.4449  0.00352745
         584    -5.37648    -5.44478  0.00352335
         585    -5.37554    -5.44466  0.00351932
         586    -5.37511    -5.44454  0.00351531
         587    -5.37534    -5.44442   0.0035113
         588    -5.37605    -5.44431  0.00350726
         589    -5.37736    -5.44419  0.00350314
         590    -5.37969    -5.44409  0.00349891
         591    -5.38226    -5.44398  0.00349455
         592    -5.38516    -5.44388  0.00349006
         593     -5.3888    -5.44379  0.00348541
         594    -5.39284     -5.4437   0.0034806
         595    -5.39706    -5.44362  0.00347563
         596    -5.40141    -5.44355  0.00347052
         597    -5.40599    -5.44349  0.00346528
         598    -5.41014    -5.44343  0.00345993
         599    -5.41502    -5.44339  0.00345448
         600    -5.42027    -5.44335  0.00344894
         601     -5.4254    -5.44332  0.00344333
         602     -5.4302     -5.4433  0.00343768
         603    -5.43494    -5.44328  0.00343201
         604    -5.44018    -5.44328  0.00342633
         605    -5.44512    -5.44328  0.00342067
         606    -5.44913    -5.44329  0.00341504
         607    -5.45369    -5.44331  0.00340945
         608    -5.45757    -5.44333  0.00340393
         609    -5.46196    -5.44336  0.00339847
         610    -5.46502     -5.4434  0.00339309
         611    -5.46871    -5.44344  0.00338779
         612     -5.4715    -5.44348  0.00338256
         613    -5.47445    -5.44354  0.00337742
         614     -5.4768    -5.44359  0.00337236
         615      -5.479    -5.44365  0.00336736
         616    -5.48031    -5.44371  0.00336242
         617    -5.48209    -5.44377  0.00335755
         618     -5.4836    -5.44383  0.00335273
         619    -5.48469     -5.4439  0.00334797
         620    -5.48538    -5.44397  0.00334324
         621     -5.4857    -5.44403  0.00333853
         622    -5.48551     -5.4441  0.00333383
         623    -5.48575    -5.44417  0.00332915
         624    -5.48598    -5.44423  0.00332449
         625    -5.48608     -5.4443  0.00331984
         626    -5.48562    -5.44437  0.00331519
         627    -5.48495    -5.44443  0.00331054
         628    -5.48484     -5.4445  0.00330589
         629    -5.48472    -5.44456  0.00330125
         630    -5.48431    -5.44462  0.00329662
         631     -5.4841    -5.44469  0.00329199
         632    -5.48367    -5.44475  0.00328735
         633    -5.48378    -5.44481  0.00328274
         634    -5.48342    -5.44487  0.00327813
         635    -5.48365    -5.44493  0.00327353
         636     -5.4842    -5.44499  0.00326897
         637    -5.48476    -5.44506  0.00326443
         638    -5.48566    -5.44512  0.00325994
         639     -5.4869    -5.44518  0.00325549
         640    -5.48742    -5.44525  0.00325107
         641    -5.48844    -5.44532   0.0032467
         642    -5.48978    -5.44539  0.00324238
         643    -5.49129    -5.44546  0.00323812
         644    -5.49281    -5.44553  0.00323393
         645    -5.49476    -5.44561  0.00322982
         646    -5.49624    -5.44569  0.00322577
         647    -5.49842    -5.44577  0.00322181
         648    -5.50036    -5.44585  0.00321794
         649    -5.50266    -5.44594  0.00321417
         650    -5.50483    -5.44603   0.0032105
