#     BLOCK:   DISTANCE:   ACT_GOFR:    AVE_GOFR:        ERROR:
           7    0.525818           0           0           0
           7    0.551467           0           0           0
           7    0.577117           0           0           0
           7    0.602767           0           0           0
           7    0.628416           0           0           0
           7    0.654066           0           0           0
           7    0.679715           0           0           0
           7    0.705365           0           0           0
           7    0.731015           0           0           0
           7    0.756664           0           0           0
           7    0.782314           0           0           0
           7    0.807964           0           0           0
           7    0.833613           0           0           0
           7    0.859263           0           0           0
           7    0.884913  0.00137558  0.00136248 0.000242579
           7    0.910562   0.0252907   0.0260083 0.000650434
           7    0.936212    0.162306    0.169375  0.00426935
           7    0.961861    0.552345    0.560739  0.00700463
           7    0.987511     1.23495     1.22022   0.0158879
           7     1.01316     1.87624     1.87277   0.0127041
           7     1.03881     2.36882     2.35233   0.0144524
           7     1.06446     2.55981     2.55138   0.0104933
           7     1.09011     2.56545     2.54593  0.00465222
           7     1.11576     2.41326     2.41061  0.00955188
           7     1.14141     2.20036     2.18568  0.00996923
           7     1.16706     1.95069     1.96036  0.00715729
           7     1.19271     1.74462     1.75486  0.00778717
           7     1.21836     1.52951     1.54157   0.0119595
           7     1.24401     1.35261     1.37669    0.012913
           7     1.26966      1.2275     1.23675   0.0116146
           7     1.29531     1.09676     1.10916  0.00871836
           7     1.32096    0.995279     1.02136   0.0102198
           7     1.34661    0.927191    0.935978  0.00618192
           7     1.37226     0.86124    0.870136  0.00636231
           7     1.39791    0.819415    0.816281  0.00415581
           7     1.42355    0.792953    0.775193  0.00447909
           7      1.4492    0.756413    0.739731  0.00373587
           7     1.47485     0.73895    0.713297  0.00452042
           7      1.5005    0.701623    0.692364  0.00236364
           7     1.52615    0.693377    0.687611   0.0020295
           7      1.5518    0.687763    0.678599   0.0036905
           7     1.57745    0.687571    0.679531  0.00549084
           7      1.6031    0.688939    0.688376  0.00511133
           7     1.62875    0.690205    0.696621   0.0064002
           7      1.6544    0.701217    0.713264  0.00704426
           7     1.68005    0.711621     0.72886  0.00554207
           7      1.7057    0.740932    0.756811  0.00572459
           7     1.73135    0.776377     0.78659   0.0033543
           7       1.757    0.820292    0.823309  0.00466509
           7     1.78265     0.84393     0.85253  0.00610491
           7      1.8083    0.901968    0.893124  0.00369342
           7     1.83395    0.944111    0.929518  0.00346698
           7      1.8596    0.975751    0.968782  0.00368866
           7     1.88525     1.01046     1.01136  0.00265424
           7      1.9109     1.05938     1.05244  0.00241242
           7     1.93655     1.09021     1.09226  0.00154517
           7      1.9622     1.11683     1.11993  0.00177311
           7     1.98785     1.16234       1.159  0.00267919
           7      2.0135     1.18324     1.18099  0.00215154
           7     2.03915     1.19294     1.19869  0.00217194
           7      2.0648     1.21815     1.21351  0.00225087
           7     2.09045     1.21966     1.21246  0.00374658
           7      2.1161     1.20525     1.20566   0.0053459
