#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         371     1.06499     1.23427   0.0147534
         372     1.06743     1.23382   0.0147206
         373     1.06991     1.23338   0.0146877
         374     1.07241     1.23295   0.0146547
         375     1.07491     1.23253   0.0146217
         376     1.07741     1.23212   0.0145886
         377      1.0799     1.23171   0.0145555
         378     1.08236     1.23132   0.0145224
         379     1.08479     1.23093   0.0144892
         380     1.08717     1.23055    0.014456
         381      1.0895     1.23018   0.0144228
         382     1.09177     1.22982   0.0143896
         383     1.09398     1.22946   0.0143564
         384     1.09611     1.22912   0.0143232
         385     1.09816     1.22878   0.0142901
         386     1.10013     1.22844   0.0142569
         387     1.10202     1.22812   0.0142238
         388     1.10381      1.2278   0.0141908
         389      1.1055     1.22748   0.0141578
         390     1.10709     1.22717   0.0141248
         391     1.10858     1.22687    0.014092
         392     1.10996     1.22657   0.0140592
         393     1.11122     1.22628   0.0140265
         394     1.11235     1.22599   0.0139938
         395     1.11336      1.2257   0.0139613
         396     1.11423     1.22542   0.0139289
         397     1.11496     1.22514   0.0138966
         398     1.11554     1.22487   0.0138644
         399     1.11597      1.2246   0.0138324
         400     1.11624     1.22433   0.0138004
         401     1.11634     1.22406   0.0137686
         402     1.11627     1.22379    0.013737
         403     1.11602     1.22352   0.0137055
         404     1.11559     1.22325   0.0136742
         405     1.11499     1.22299    0.013643
         406     1.11421     1.22272   0.0136121
         407     1.11325     1.22245   0.0135813
         408     1.11213     1.22218   0.0135507
         409     1.11086     1.22191   0.0135203
         410     1.10943     1.22163   0.0134901
         411     1.10788     1.22136   0.0134601
         412     1.10621     1.22108   0.0134303
         413     1.10446     1.22079   0.0134008
         414     1.10263     1.22051   0.0133715
         415     1.10076     1.22022   0.0133423
         416     1.09887     1.21993   0.0133135
         417       1.097     1.21963   0.0132848
         418     1.09517     1.21934   0.0132564
         419      1.0934     1.21904   0.0132281
         420     1.09172     1.21873   0.0132001
         421     1.09015     1.21843   0.0131723
         422     1.08871     1.21812   0.0131447
         423     1.08742     1.21781   0.0131172
         424     1.08629      1.2175   0.0130899
         425     1.08531     1.21719   0.0130628
         426     1.08449     1.21688   0.0130359
         427     1.08383     1.21657   0.0130091
         428      1.0833     1.21625   0.0129824
         429     1.08291     1.21594   0.0129559
         430     1.08263     1.21563   0.0129294
         431     1.08244     1.21532   0.0129031
         432     1.08232     1.21502   0.0128769
         433     1.08224     1.21471   0.0128509
         434     1.08218      1.2144   0.0128249
         435     1.08211      1.2141    0.012799
         436     1.08202      1.2138   0.0127732
         437     1.08188      1.2135   0.0127476
